ngpus,numa_nodes,update_element,avg_h2d_latency(ms),avg_compute_latency(ms),avg_d2h_latency(ms)
1,"0",5242880,13.056748,0.023299,6.685848
1,"0",20971520,52.345730,0.028192,26.083769
1,"0",73400320,182.991385,0.045672,90.357353
1,"0",671088640,1307.631507,0.180695,747.324935
1,"3",5242880,20.621353,0.023087,6.838980
1,"3",20971520,90.312191,0.028404,29.395291
1,"3",73400320,308.994576,0.048694,99.787843
1,"3",671088640,2863.452411,0.205621,931.122075
2,"0",5242880,5.676765,0.026162,3.503331
2,"0",20971520,24.645355,0.037930,15.757927
2,"0",73400320,82.061729,0.047498,46.981120
2,"0",671088640,701.348464,0.120625,411.906656
2,"3",5242880,15.216844,0.038422,6.833542
2,"3",20971520,61.674091,0.050787,27.534762
2,"3",73400320,210.501609,0.052739,98.677611
2,"3",671088640,1919.579180,0.300366,895.233836
