ngpus,numa_nodes,numa_weight,update_element,avg_h2d_latency(ms),avg_compute_latency(ms),avg_d2h_latency(ms)
1,"0,3","1,1",5242880,1.536927,0.010580,1.609111
1,"0,3","1,1",20971520,10.338284,0.011602,10.667786
1,"0,3","1,1",73400320,45.135165,0.027211,46.660537
1,"0,3","1,1",671088640,438.699939,0.162591,451.427370
1,"0,3","1,2",5242880,1.552344,0.024659,1.609875
1,"0,3","1,2",20971520,14.087178,0.011491,14.811165
1,"0,3","1,2",73400320,59.820254,0.027241,61.656450
1,"0,3","1,2",671088640,585.305818,0.167988,596.620238
1,"0,3","1,3",5242880,1.548307,0.010309,1.611676
1,"0,3","1,3",20971520,15.344281,0.012003,15.980814
1,"0,3","1,3",73400320,67.218275,0.027253,69.143106
1,"0,3","1,3",671088640,658.137875,0.171888,669.305779
1,"0,3","1,4",5242880,1.547463,0.010382,1.610644
1,"0,3","1,4",20971520,16.642422,0.011302,17.519196
1,"0,3","1,4",73400320,71.768119,0.027647,73.747490
1,"0,3","1,4",671088640,701.294421,0.166441,712.503595
2,"0,3","1,1",5242880,0.830649,0.022893,0.834186
2,"0,3","1,1",20971520,9.717125,0.031776,10.459795
2,"0,3","1,1",73400320,44.248360,0.045100,45.436662
2,"0,3","1,1",671088640,438.846718,0.151527,444.297298
2,"0,3","1,2",5242880,0.876433,0.029580,0.910922
2,"0,3","1,2",20971520,12.765770,0.030964,13.863930
2,"0,3","1,2",73400320,59.700964,0.040439,61.229663
2,"0,3","1,2",671088640,584.837700,0.208680,590.348065
2,"0,3","1,3",5242880,1.007205,0.014286,1.162986
2,"0,3","1,3",20971520,14.256818,0.054473,15.507406
2,"0,3","1,3",73400320,66.085623,0.053972,67.595067
2,"0,3","1,3",671088640,658.774057,0.201827,664.342128
2,"0,3","1,4",5242880,0.899018,0.027836,0.966902
2,"0,3","1,4",20971520,15.402817,0.043055,16.668559
2,"0,3","1,4",73400320,70.808787,0.077836,72.370204
2,"0,3","1,4",671088640,701.399197,0.245105,706.686896
