ngpus,numa_nodes,update_element,avg_h2d_latency(ms),avg_compute_latency(ms),avg_d2h_latency(ms)
1,"0",1835008,0.549886,0.010063,0.575614
1,"0",12845056,3.720477,0.010639,3.924561
1,"0",67895296,19.566868,0.027869,20.706509
1,"0",544997376,156.895690,0.133391,166.134035
1,"3",1835008,0.552529,0.010440,0.578885
1,"3",12845056,9.008172,0.011062,9.881229
1,"3",67895296,82.254292,0.028033,84.338861
1,"3",544997376,710.584107,0.143504,719.642351
2,"0",1835008,0.301426,0.022555,0.312164
2,"0",12845056,1.889005,0.020963,1.966803
2,"0",67895296,9.810016,0.037872,10.375502
2,"0",544997376,78.466588,0.078526,83.399205
2,"3",1835008,0.300119,0.018830,0.315706
2,"3",12845056,8.463002,0.041143,9.807974
2,"3",67895296,80.916201,0.085533,82.549774
2,"3",544997376,711.381118,0.270728,714.800151
