ngpus,numa_nodes,numa_weight,update_element,avg_h2d_latency(ms),avg_compute_latency(ms),avg_d2h_latency(ms)
1,"0,3","1,1",1835008,5.764098,0.023444,2.494538
1,"0,3","1,1",12845056,43.252333,0.024952,16.060682
1,"0,3","1,1",67895296,227.375732,0.047977,83.810461
1,"0,3","1,1",544997376,1667.751171,0.159924,599.794051
1,"0,3","1,2",1835008,6.398690,0.023371,2.490207
1,"0,3","1,2",12845056,44.259097,0.026792,16.071775
1,"0,3","1,2",67895296,234.083592,0.050378,83.772391
1,"0,3","1,2",544997376,1869.471701,0.165471,600.259979
1,"0,3","1,3",1835008,6.726576,0.021583,2.249022
1,"0,3","1,3",12845056,47.162707,0.026395,16.055028
1,"0,3","1,3",67895296,246.753753,0.043894,75.054384
1,"0,3","1,3",544997376,1990.062481,0.163092,600.731037
1,"0,3","1,4",1835008,6.992145,0.021955,2.492999
1,"0,3","1,4",12845056,48.249347,0.024325,14.659169
1,"0,3","1,4",67895296,259.234163,0.047221,83.817262
1,"0,3","1,4",544997376,2055.947939,0.164947,613.715868
2,"0,3","1,1",1835008,3.829442,0.037848,2.044114
2,"0,3","1,1",12845056,24.486449,0.035045,9.188347
2,"0,3","1,1",67895296,130.657977,0.047025,47.030431
2,"0,3","1,1",544997376,1026.980193,0.116728,374.975461
2,"0,3","1,2",1835008,4.451783,0.037684,2.284755
2,"0,3","1,2",12845056,29.676935,0.037942,12.719531
2,"0,3","1,2",67895296,151.435362,0.053606,59.510179
2,"0,3","1,2",544997376,1214.015877,0.128333,492.626641
2,"0,3","1,3",1835008,4.466105,0.029834,2.054192
2,"0,3","1,3",12845056,31.840248,0.036160,13.828716
2,"0,3","1,3",67895296,161.536107,0.042521,68.483047
2,"0,3","1,3",544997376,1286.427819,0.132734,541.320754
2,"0,3","1,4",1835008,4.608265,0.030111,2.085700
2,"0,3","1,4",12845056,33.213321,0.039745,14.498245
2,"0,3","1,4",67895296,168.708582,0.065766,72.529293
2,"0,3","1,4",544997376,1344.828759,0.155859,580.759236
